#{"t_start": 1731462368.8105326, "env_id": "None"}
r,l,t
0.0,100,3.888959
0.480141,73,4.886409
0.922745,8,4.993921
0.61729,48,5.551635
0.675729,39,6.064877
0.48989,71,6.907108
0.793614,23,7.193691
0.732303,31,7.5912
0.0,100,8.964672
0.0,100,10.316594
0.0,100,11.825727
0.0,100,13.080082
0.61729,48,13.689832
0.703448,35,14.286547
0.860058,15,14.46441
0.793614,23,14.788052
0.0,100,16.322019
0.895338,11,16.448199
0.0,100,17.818602
0.0,100,19.163268
0.0,100,20.482959
0.0,100,21.946144
0.785678,24,22.280656
0.809728,21,22.534373
0.0,100,23.937643
0.860058,15,24.153791
0.0,100,25.664902
0.785678,24,26.011889
0.785678,24,26.369184
0.717731,33,26.833869
0.668972,40,27.313904
0.94148,6,27.381708
0.95099,5,27.441191
0.0,100,28.806388
0.770043,26,29.158536
0.94148,6,29.226167
0.0,100,30.509744
0.7397,30,30.921608
0.970299,3,30.975746
0.0,100,32.27276
0.696413,36,32.764378
0.809728,21,33.008816
0.0,100,34.234485
0.0,100,35.482176
0.0,100,36.798367
0.0,100,38.19136
0.0,100,39.514779
0.0,100,41.112499
0.0,100,42.670808
0.0,100,43.950052
0.381047,96,45.109842
0.770043,26,45.460882
0.461222,77,46.361196
0.0,100,47.5661
0.793614,23,47.85482
0.9801,2,47.866078
0.0,100,49.054298
0.860058,15,49.231103
0.525596,64,50.044074
0.868746,14,50.214007
0.0,100,51.420322
0.0,100,52.641371
0.0,100,53.829293
0.0,100,55.024902
0.0,100,56.226468
0.777821,25,56.522097
0.0,100,57.708389
0.0,100,58.892962
0.0,100,60.092924
0.0,100,61.293722
0.851458,16,61.47506
0.7397,30,61.892148
0.0,100,63.098148
0.842943,17,63.291386
0.0,100,64.497258
0.842943,17,64.724835
0.48989,71,65.569306
0.0,100,66.757939
0.598956,51,67.357158
0.0,100,68.550671
0.0,100,69.746632
0.0,100,70.929103
0.0,100,72.115278
0.0,100,73.337333
0.834514,18,73.560489
0.0,100,74.761325
0.605006,50,75.365917
0.72498,32,75.730258
0.0,100,76.916563
0.770043,26,77.221024
0.817907,20,77.46273
0.886385,12,77.627267
0.877521,13,77.7601
0.642612,44,78.291962
0.0,100,79.523464
0.851458,16,79.716667
0.747172,29,80.073756
0.0,100,81.258372
0.922745,8,81.365723
0.777821,25,81.671864
0.842943,17,81.861084
0.9801,2,81.872075
0.762343,27,82.217216
0.0,100,83.402997
0.868746,14,83.578451
0.72498,32,83.954957
0.868746,14,84.129216
0.793614,23,84.381177
0.0,100,85.583055
0.668972,40,86.071502
0.99,1,86.110694
0.970299,3,86.127866
0.0,100,87.324404
0.563905,57,88.0245
0.0,100,89.225041
0.649103,43,89.721772
0.99,1,89.727826
0.0,100,90.965256
0.0,100,92.169482
0.0,100,93.358364
0.860058,15,93.540047
0.747172,29,93.895069
0.547157,60,94.627395
0.636185,45,95.168893
0.611117,49,95.76237
0.0,100,97.00056
0.904382,10,97.121586
0.541685,61,97.854019
0.0,100,99.061869
0.0,100,100.254888
0.95099,5,100.31567
0.754719,28,100.651109
0.696413,36,101.062561
0.922745,8,101.169715
0.826169,19,101.37239
0.0,100,102.563313
0.61729,48,103.147108
0.662282,41,103.622846
0.877521,13,103.806177
0.754719,28,104.126117
0.605006,50,104.720951
0.0,100,105.916885
0.0,100,107.108767
0.0,100,108.299314
0.668972,40,108.778114
0.558266,58,109.483612
0.970299,3,109.529678
0.960596,4,109.551693
0.629824,46,110.164824
0.0,100,111.353487
0.762343,27,111.834944
0.868746,14,112.012484
0.860058,15,112.193189
0.94148,6,112.26524
0.0,100,113.456706
0.0,100,114.690058
0.0,100,115.88864
0.0,100,117.08146
0.747172,29,117.433846
0.842943,17,117.621311
0.834514,18,117.852785
0.834514,18,118.05318
0.0,100,119.257286
0.717731,33,119.666354
0.710553,34,120.089805
0.0,100,121.290484
0.877521,13,121.428337
0.0,100,122.641726
0.0,100,123.842487
0.0,100,125.053008
0.541685,61,125.801473
0.581166,54,126.425499
0.0,100,127.614764
0.717731,33,128.027488
0.0,100,129.217042
0.0,100,130.445208
0.886385,12,130.573736
0.384896,95,131.743361
0.0,100,132.949894
0.95099,5,133.006787
0.0,100,134.227888
0.703448,35,134.65663
0.0,100,135.860813
0.0,100,137.064918
0.801631,22,137.342839
0.0,100,138.540165
0.801631,22,138.789685
0.922745,8,138.900234
0.886385,12,139.03828
0.0,100,140.235652
0.0,100,141.424802
0.860058,15,141.602507
0.860058,15,141.776371
0.851458,16,141.961464
0.0,100,143.158263
0.682555,38,143.621289
0.732303,31,143.984347
0.636185,45,144.519937
0.732303,31,144.885478
0.655659,42,145.406523
0.777821,25,145.69891
0.801631,22,145.958651
0.0,100,147.147427
0.682555,38,147.611513
0.662282,41,148.092107
0.970299,3,148.137998
0.0,100,149.413206
0.895338,11,149.535583
0.0,100,150.730854
0.860058,15,150.910484
0.0,100,152.10837
0.817907,20,152.348944
0.932065,7,152.417641
0.696413,36,152.851142
0.747172,29,153.203756
0.754719,28,153.548929
0.0,100,154.761938
0.860058,15,154.936298
0.851458,16,155.132493
0.0,100,156.331089
0.0,100,157.540566
0.0,100,158.753428
0.465881,76,159.664746
0.0,100,160.877923
0.7397,30,161.240566
0.809728,21,161.482353
0.99,1,161.523105
0.868746,14,161.666493
0.682555,38,162.135496
0.895338,11,162.263083
0.0,100,163.478712
0.0,100,164.698159
0.0,100,165.925277
0.40882,89,167.064241
0.0,100,168.263242
0.747172,29,168.62168
0.851458,16,168.803622
0.636185,45,169.358192
0.0,100,170.570211
0.0,100,171.768235
0.0,100,172.974887
0.0,100,174.179987
0.770043,26,174.48456
0.717731,33,174.891016
0.826169,19,175.133573
0.95099,5,175.195245
0.0,100,176.393839
0.72498,32,176.764523
0.785678,24,177.060477
0.668972,40,177.540634
0.860058,15,177.716454
0.0,100,178.924258
0.895338,11,179.055839
0.0,100,180.252804
0.913517,9,180.363487
0.860058,15,180.544744
0.0,100,181.741621
