#{"t_start": 1731459198.8971176, "env_id": "None"}
r,l,t
0.0,100,3.108162
0.655659,42,3.69392
0.0,100,4.95507
0.777821,25,5.305546
0.0,100,6.828401
0.886385,12,6.980978
0.886385,12,7.168376
0.0,100,8.588079
0.0,100,9.967814
0.0,100,11.286271
0.461222,77,12.281166
0.7397,30,12.69921
0.860058,15,12.923404
0.834514,18,13.193986
0.605006,50,13.912587
0.754719,28,14.275134
0.438618,82,15.420964
0.0,100,16.758562
0.636185,45,17.437718
0.0,100,18.860986
0.611117,49,19.473672
0.655659,42,20.13747
0.754719,28,20.465338
0.0,100,21.903666
0.592966,52,22.606113
0.0,100,23.891505
0.717731,33,24.293521
0.0,100,25.578174
0.0,100,26.943257
0.0,100,28.763978
0.0,100,30.316144
0.0,100,31.746665
0.592966,52,32.515155
0.0,100,34.109465
0.0,100,35.690848
0.860058,15,35.917171
0.7397,30,36.302169
0.793614,23,36.596914
0.904382,10,36.809988
0.809728,21,37.172908
0.95099,5,37.24218
0.99,1,37.248267
0.94148,6,37.326137
0.655659,42,37.959354
0.801631,22,38.322874
0.747172,29,38.72627
0.0,100,40.076752
0.777821,25,40.410877
0.94148,6,40.481197
0.655659,42,41.038097
0.0,100,42.386451
0.47534,74,43.375363
0.0,100,44.782713
0.932065,7,44.867151
0.0,100,46.269545
0.465881,76,47.386585
0.0,100,48.781108
0.0,100,50.113093
0.99,1,50.118812
0.932065,7,50.191681
0.655659,42,50.760803
0.0,100,52.090124
0.817907,20,52.348853
0.960596,4,52.375815
0.0,100,53.798151
0.7397,30,54.192415
0.99,1,54.232264
0.834514,18,54.456424
0.0,100,56.076831
0.649103,43,56.659602
0.703448,35,57.120781
0.536268,62,57.911876
0.0,100,59.296828
0.754719,28,59.680839
0.0,100,61.083547
0.99,1,61.089466
0.809728,21,61.337635
0.0,100,62.774201
0.61729,48,63.623979
0.0,100,65.366953
0.0,100,66.897758
0.0,100,68.183767
0.770043,26,68.529596
0.575355,55,69.258132
0.0,100,70.590287
0.842943,17,70.794852
0.99,1,70.834452
0.842943,17,71.056369
0.932065,7,71.140672
0.0,100,72.600472
0.851458,16,72.876529
0.689449,37,73.41275
0.0,100,74.682142
0.45661,78,75.699668
0.525596,64,76.524212
0.868746,14,76.733296
0.732303,31,77.132799
0.904382,10,77.274277
0.0,100,78.627494
0.642612,44,79.213797
0.801631,22,79.531994
0.868746,14,79.681596
0.809728,21,80.000342
0.0,100,81.325804
0.793614,23,81.602302
0.922745,8,81.729783
0.696413,36,82.216106
0.0,100,83.606278
0.913517,9,83.72318
0.99,1,83.728944
0.0,100,85.038649
0.895338,11,85.181567
0.649103,43,85.76164
0.9801,2,85.775159
0.0,100,87.100223
0.61729,48,87.759082
0.95099,5,87.82561
0.710553,34,88.285331
0.0,100,89.620834
0.860058,15,89.816752
0.642612,44,90.408541
0.0,100,91.757341
0.0,100,93.119046
0.0,100,94.449659
0.860058,15,94.657332
0.655659,42,95.231932
0.762343,27,95.582612
0.0,100,96.929214
