#{"t_start": 1732125176.0250912, "env_id": "None"}
r,l,t
0.0,100,2.389768
0.0,100,3.770075
0.384896,95,5.0708
0.842943,17,5.328818
0.0,100,6.982317
0.0,100,8.384358
0.0,100,9.940565
0.0,100,11.355364
0.0,100,12.962883
0.0,100,14.388297
0.0,100,15.878406
0.0,100,17.323805
0.0,100,18.864675
0.0,100,20.45254
0.515137,66,21.5054
0.0,100,22.960295
0.0,100,24.422334
0.0,100,25.826626
0.0,100,27.276636
0.0,100,28.759832
0.438618,82,29.951126
0.932065,7,30.068195
0.0,100,31.712971
0.0,100,33.203739
0.0,100,34.713917
0.7397,30,35.111694
0.0,100,36.728361
0.904382,10,36.92836
0.0,100,38.335138
0.520341,65,39.291971
0.0,100,40.878852
0.575355,55,41.59584
0.0,100,43.084563
0.913517,9,43.322595
0.0,100,45.043182
0.0,100,46.496558
0.0,100,48.057308
0.970299,3,48.077469
0.649103,43,48.87451
0.480141,73,50.023774
0.0,100,51.577761
0.826169,19,51.867595
0.400685,91,53.244998
0.530906,63,54.189574
0.754719,28,54.576653
0.9801,2,54.590166
0.0,100,56.000517
0.47534,74,57.000891
0.0,100,58.375305
0.817907,20,58.643734
0.770043,26,58.994689
0.0,100,60.341237
0.682555,38,60.891289
0.421334,86,62.153135
0.0,100,63.907795
0.877521,13,64.062318
0.587037,53,64.80199
0.0,100,66.32124
0.0,100,67.917369
0.0,100,69.279109
0.384896,95,70.528806
0.0,100,71.855106
0.45661,78,72.895531
0.0,100,74.471341
0.793614,23,74.879617
0.0,100,76.353253
0.0,100,77.828696
0.99,1,77.835757
0.817907,20,78.142756
0.0,100,79.814679
0.0,100,81.326281
0.581166,54,82.100966
0.72498,32,82.547387
0.0,100,83.890934
0.36973,99,85.453394
0.0,100,87.096778
0.710553,34,87.70739
0.675729,39,88.380751
0.851458,16,88.670815
0.842943,17,88.935555
0.636185,45,89.725683
0.0,100,91.282018
0.851458,16,91.489089
0.0,100,93.000407
0.675729,39,93.554793
0.95099,5,93.619219
0.0,100,94.98139
0.0,100,96.420513
0.0,100,97.919695
0.842943,17,98.124496
0.581166,54,98.848416
0.552683,59,99.686731
0.0,100,101.076332
0.877521,13,101.233608
0.0,100,102.597577
0.0,100,104.519227
0.785678,24,104.88978
0.0,100,106.262213
0.642612,44,106.845932
0.581166,54,107.574051
0.655659,42,108.130453
0.801631,22,108.416264
0.682555,38,108.932737
0.592966,52,109.685462
0.0,100,111.124076
0.373464,98,112.479956
0.94148,6,112.552444
0.960596,4,112.623165
0.0,100,114.079639
0.447523,80,115.333808
0.0,100,116.806752
0.0,100,118.53549
0.547157,60,119.356368
0.0,100,121.024554
0.0,100,122.594272
0.777821,25,123.000638
0.777821,25,123.338011
0.417121,87,124.67
0.0,100,126.061468
0.662282,41,126.873768
0.851458,16,127.127594
0.0,100,128.469377
0.42559,85,129.617114
0.851458,16,129.82228
0.0,100,131.162484
0.877521,13,131.353245
0.747172,29,131.710095
0.0,100,133.049221
0.770043,26,133.433401
0.0,100,134.769707
0.525596,64,135.647857
0.547157,60,136.507944
0.0,100,137.851655
0.922745,8,137.977185
0.904382,10,138.119293
0.0,100,139.474251
0.834514,18,139.733652
0.877521,13,139.881407
0.636185,45,140.530686
0.0,100,141.856441
0.785678,24,142.174028
0.443048,81,143.25878
0.0,100,144.590127
0.895338,11,144.728928
0.834514,18,144.990333
0.99,1,144.996444
0.682555,38,145.51013
0.970299,3,145.527496
0.860058,15,145.728041
0.960596,4,145.787481
0.860058,15,145.985604
0.95099,5,146.05105
0.465881,76,147.063291
0.732303,31,147.494864
0.826169,19,147.723989
0.509986,67,148.68342
0.793614,23,148.964953
0.0,100,150.267809
0.61729,48,150.898408
0.0,100,152.20138
0.932065,7,152.281715
0.0,100,153.632862
0.913517,9,153.756236
0.868746,14,153.949013
0.0,100,155.298616
0.0,100,156.852243
0.0,100,158.290614
