#{"t_start": 1732621030.1296134, "env_id": "None"}
r,l,t
0.0,100,2.875576
0.0,100,4.094163
0.0,100,5.305573
0.0,100,6.510601
0.0,100,7.714842
0.470587,75,8.655742
0.877521,13,8.828087
0.0,100,10.033299
0.0,100,11.239811
0.36973,99,12.527832
0.592966,52,13.140852
0.0,100,14.416236
0.72498,32,14.822273
0.0,100,16.020812
0.682555,38,16.460326
0.0,100,17.668046
0.851458,16,17.854447
0.0,100,19.08286
0.877521,13,19.251446
0.826169,19,19.486026
0.0,100,20.702187
0.536268,62,21.450538
0.0,100,22.649014
0.587037,53,23.303879
0.0,100,24.505202
0.747172,29,24.85248
0.895338,11,25.013402
0.99,1,25.019238
0.868746,14,25.193684
0.569601,56,25.990598
0.0,100,27.431122
0.0,100,28.694229
0.61729,48,29.294939
0.0,100,30.497353
0.0,100,31.734674
0.793614,23,32.019924
0.649103,43,32.565069
0.0,100,33.951564
0.877521,13,34.131724
0.0,100,35.402581
0.587037,53,36.113223
0.904382,10,36.236035
0.826169,19,36.520638
0.689449,37,36.968221
0.61729,48,37.569085
0.72498,32,37.943051
0.770043,26,38.24901
0.9801,2,38.292774
0.0,100,39.668966
0.696413,36,40.141931
0.777821,25,40.464159
0.747172,29,40.858705
0.785678,24,41.210808
0.970299,3,41.234309
0.0,100,42.646282
0.0,100,43.889882
0.0,100,45.500089
0.581166,54,46.331615
0.0,100,47.857916
0.762343,27,48.180078
0.717731,33,48.603949
0.793614,23,48.948555
0.0,100,50.456495
0.470587,75,51.424003
0.747172,29,51.75885
0.649103,43,52.307433
0.72498,32,52.692815
0.960596,4,52.765115
0.0,100,54.008912
0.0,100,55.257784
0.0,100,56.87264
0.0,100,58.088203
0.0,100,59.289825
0.0,100,60.516842
0.7397,30,60.873644
0.636185,45,61.433241
0.860058,15,61.619825
0.0,100,62.822059
0.675729,39,63.299192
0.0,100,64.512049
0.904382,10,64.632973
0.0,100,65.910694
0.960596,4,65.965199
0.0,100,67.206628
0.0,100,68.399924
0.895338,11,68.525078
0.668972,40,69.009684
0.0,100,70.213274
0.0,100,71.430951
0.732303,31,71.798627
0.0,100,73.036364
0.605006,50,73.642905
0.0,100,74.842017
0.809728,21,75.087287
0.623525,47,75.681269
0.0,100,76.894786
0.0,100,78.180556
0.655659,42,78.729096
0.732303,31,79.117677
0.0,100,80.381526
0.826169,19,80.623519
0.0,100,82.0165
0.932065,7,82.13619
0.0,100,83.454834
0.0,100,84.888085
0.904382,10,85.023498
0.7397,30,85.419291
0.886385,12,85.604086
0.0,100,87.220799
0.851458,16,87.408793
0.851458,16,87.609382
0.809728,21,87.926428
0.95099,5,87.994406
0.851458,16,88.204552
0.922745,8,88.292936
0.826169,19,88.556194
0.0,100,89.965909
0.793614,23,90.261198
0.0,100,91.59493
0.0,100,92.910447
0.99,1,92.915841
0.817907,20,93.155381
0.817907,20,93.39191
0.94148,6,93.456923
0.581166,54,94.163879
0.0,100,95.447578
0.72498,32,95.8843
0.747172,29,96.248657
0.0,100,97.654717
0.558266,58,98.451086
0.0,100,99.818861
0.0,100,101.112819
0.552683,59,101.842648
0.668972,40,102.347046
0.868746,14,102.490088
0.381047,96,103.773356
0.99,1,103.779699
0.754719,28,104.098281
0.575355,55,104.75602
0.95099,5,104.824844
0.649103,43,105.362527
0.785678,24,105.658836
0.649103,43,106.168707
0.530906,63,106.932624
0.913517,9,107.046815
0.0,100,108.393224
0.0,100,109.825301
0.0,100,111.078404
0.886385,12,111.211909
0.886385,12,111.391126
0.717731,33,111.771368
0.0,100,112.983732
0.504886,68,113.822619
0.842943,17,114.017588
0.642612,44,114.547166
0.0,100,115.841604
0.834514,18,116.179874
0.886385,12,116.353367
